NAME,POSITION,Market size,No of emp,DATE,TITLE,LIKE,DISLIKE,BENEFITS
Kelly M.,Managing Director,Enterprise,> 1000 emp.,24-Feb-22,"""A must have for Customer Success !""","The ability to dissect the data as a leader of a CS organization makes it easy to action and prioritize on your day to day. 
","Some controls you lose access to and have to reimplement.
","Customer engagement and Churn.
"
Lisette G.,Head of support,Small-Business,50 or fewer emp.,11-May-22,"""Great customer success experience!""",Planhat is a great example on how customer success should work. They practise what they preach. They understand their customers and have different playbooks defined on the goal you want to use Planhat for. Review collected by and hosted on G2.com.,The user interface is very easy to understand. However the access right structure from my point of view is not very clear. Review collected by and hosted on G2.com.,They know what their doing since they are practising it them selves a great inspiration! Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,04-Nov-22,"""Positive Experience""","The platform is clean, easy to use and customizable. Being able to customize reports to stay on track of client management in a way that makes sense to 'you 'is beneficial. Review collected by and hosted on G2.com.","I have been using Planhat for under a year, but the one feedback is the lack of integration through Planhat and salesforce. Review collected by and hosted on G2.com.",Assisting with the re-organization of our dashboards to assist with the overall Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,31-May-22,"""Great customer success management system with a bright future""","structured and easy UI and UX, driven by data and segmentations for every day business decisions, overviews and tables, 360 customer profiles, customer portal, great support and success manager, customizable fields still easy to setup, powerful API Review collected by and hosted on G2.com.","some bugs but great support and fast responses at any time, tracking of emails and calendar items could be more sophisticated (already in the making as far as I know) Review collected by and hosted on G2.com.","missing data-driven decision making, in-transparency and knowledge gaps, collaboration on customer topics for multiple teams, a central go-to point from which you can deep-dive into specific topics, easy to handle yet realistic mapping of reality at the customers Review collected by and hosted on G2.com."
Ibrahim s.,Senior Manager - Customer Success,Mid-Market,51-1000 emp.,01-Jul-22,"""Planhat is very useful and we can create playbook to remind the task""",Playbook to remind tasks and we should not have to keep a separate notes. Review collected by and hosted on G2.com.,truly speaking nothing is least helpful in planhat. Review collected by and hosted on G2.com.,Guys! Planhat is a one-stop solution for all your organizational needs of Database mgmt and more Review collected by and hosted on G2.com.
Louise B.,Head of Customer Sucess Out of Home,Small-Business,50 or fewer emp.,09-May-22,"""Full of possibilities and game changers!""","Although we are still in the implementation phase, I already see so much potential in the tool and what it can do for us in the long run.
","none for now, perhaps too early to make any statements about this. Review collected by and hosted on G2.com.","If you are looking for a easy and friendly to use platform, this is it! Review collected by and hosted on G2.com."
Phoebe R.,Customer Success Manager,Small-Business,50 or fewer emp.,14-Jun-22,"""Planhat gives me so much visibility!""",It's allowing us to pull in so much customer data from a multitude of systems and have it all visible in one place. Review collected by and hosted on G2.com.,Nothing that I have found yet! Working well so far. Review collected by and hosted on G2.com.,"It has allowed us to consolidate and formalise processes, as well as gives us a great overview of where our customers are at. Review collected by and hosted on G2.com."
Shelley D.,Course Leader,Small-Business,50 or fewer emp.,16-May-22,"""Wonderfully innovative""",It's super easy to use and a really innovative product in comparison to other competitors on the market. Review collected by and hosted on G2.com.,Hidden add ons to get the full product suite that we weren't aware of means that we're not using the product to its maximum capacity. Review collected by and hosted on G2.com.,Ask about the hidden extras that you might need as an add on Review collected by and hosted on G2.com.
Børge S.,Head of Customer Success,Mid-Market,51-1000 emp.,18-Feb-22,"""Very user friendly and powerfull CS software""",#NAME?,"- What we're really missing is the posibility for a end user to be connected to more than one company at the same time.
","Make sure you have your data organized so that your time to value is minimal. They will help you onboard, but you have to do a lot independently, so be proactive. Before implementing, make sure all integrations are ready for setup.
"
Julián B.,Chief Revenue Officer,Mid-Market,51-1000 emp.,18-May-22,"""An amazing SaaS for a Startup and a ScaleUp""",The software is easy to integrate to your other tools. It works smoothly and has all the features you need to scale your CX team. Review collected by and hosted on G2.com.,"Nothing. They are gentle people, always ready to help. Their customer experience team is wonderful. Review collected by and hosted on G2.com.",We manage all our CX experience. From Onboarding to expanding accounts. It also helps us prevent churn thanks to the great playbooks they allow you to set up. Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,11-Oct-22,"""Next level customer success""","The customization and easy interface. 
",Wish the zapier integration was more customized. Review collected by and hosted on G2.com.,Insight into client adoption across multiple platforms. Review collected by and hosted on G2.com.
Tomáš V.,Customer Success Manager,Small-Business,50 or fewer emp.,16-May-22,"""All in one tool for CSM team""","Planhat is an amazing tool for the CSM team, where we can combine different data points and utilize automation for maximum efficiency. Review collected by and hosted on G2.com.",I'd like to have some video tutorial/navigation and some best use-case scenarios on how to set it up in the best possible way. Review collected by and hosted on G2.com.,Gathering multiple data points into one platform where we can immediately see what's currently happening with our clients without checking multiple dashboards. Review collected by and hosted on G2.com.
Fabricio P.,Coordenador de Implementação,Small-Business,50 or fewer emp.,19-May-22,"""Al the data I need to know about my costumers in one place""","Integrations, data visualization/information Review collected by and hosted on G2.com.",Not being able to return to a landing page Review collected by and hosted on G2.com.,"Take some time to really get to know planhat before launching, it may seem like wasted time but it will alow you to do so much more in the future and use 100% of it Review collected by and hosted on G2.com."
Saahil K.,Head of Customer Success,Small-Business,50 or fewer emp.,22-Nov-21,"""Best decision ever!""","Hard to pick one. There are so many things to love about Planhat. The reporting (Internal and External via Portals), the Data Module that lets my team and myself slice and dice our customer portfolio, the automation that helps us engage with our customers at scale. Besides this, I love the support the team has provided us from day 1 onward. A great product with a stellar support team. A great product roadmap. I can just go on and on. Review collected by and hosted on G2.com.","Nothing specific. Planhat delivers on what it promises. For one of our specific requirements, we need to make a few workarounds, which is (workarounds) something I am not a big fan of. But I am sure in due course this will be a part of the feature set. Review collected by and hosted on G2.com.","Just go for it! You will not regret this decision, and your CS team will thank you for it. Review collected by and hosted on G2.com."
Unknown,Unknown,Small-Business,50 or fewer emp.,06-May-22,"""Great tool for accessing client data""",Creating playbooks on Planhat has really helped us have better control over our book of business. We're able to clearly see which companies are doing well and others that may be more likely to churn when we come round to renewals Review collected by and hosted on G2.com.,Sometimes the filters we add to our searches reset and the applications can become quite fiddly. The pros far outweigh the cons however and the presentation is extremely clear Review collected by and hosted on G2.com.,"We're trying to move from a reactionary platform to proactive, which Planhat is helping us with immensely. We're able to do more proactive reach outs to companies underperforming as we can more easily identify them Review collected by and hosted on G2.com."
Lauren L.,Director of Customer Success,Mid-Market,51-1000 emp.,19-Nov-21,"""Rapidly evolving, innovative product""","Customer Success platforms are fairly new to the industry. Planhat is clearly a start-up but the maturity of their product reflects an ability to innovate and develop new and valuable features quickly. What our team likes best so far is the Customer 360 where all customer data can be viewed together. Additionally, PlanHat's licensing model allows for a lot more transparency and access by teams outside of Customer Success which we think is critical for organizational success. Review collected by and hosted on G2.com.","The customer services provided by Planhat are excellent. However, they are lacking some of the training and community aspects their larger competitors have. Customer Success platforms are complex for implementation and ongoing management, so the more resources, the better the ability to have users train on demand to feel comfortable using the platform. Review collected by and hosted on G2.com.","Our organization had no system that brought together all customer data from our CRM, service desk, product, and surveys. Planhat allows us to see all this data in one place and then develop health scoring based on the unique aspects of our business and industry. This feature enables our Customer Success team to be far more proactive in preventing churn instead of reactive. The ability to create playbooks for how we onboard a new customer, for example, has also been very helpful to our team. Review collected by and hosted on G2.com."
Mike T.,Client Success Manager,Small-Business,50 or fewer emp.,05-Jan-22,"""All-encompassing CS tool to ensure you service your clients better""","Planhat has some intiuitive out of the box features, but where it really comes into its own is with the customisations which can be put in place. With the help of your CSM & the great Support Team, it's easy to implement impactful customisations. The client-facing Portal is also an excellent tool which we have many clients pick up on and appreciate. Review collected by and hosted on G2.com.","Sometimes it can be a little clunky to implement things, however it's understandable given the power behind it necessary to do these. It's better to be able to do so, than not have the option. Review collected by and hosted on G2.com.","Have a meeting with sales, understand your customer-fit and start the conversation. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,11-May-22,"""Intuitive Business Insights and Metrics""","The interface is very intuitive and new-user friendly, with customization options that allow you to provide high-level details or granular data metrics, depending on your needs. Review collected by and hosted on G2.com.","Custom filter creation can display nearly any data set you'd like, but the process of building filters can be confusing for new users.  With that being said, the Planhat Support team has been able to walk us through numerous custom filters and has even built some for us! Review collected by and hosted on G2.com.",Ensure you have somebody knowledgable in JSON coding to help establish your health/usage metrics! Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,18-Aug-22,"""Planhat is one of the best customer success tools out in the market!""",The health-score aspect is what I find the most impressive - I think it provides a lot of value to the team by tracking usage across different users. Review collected by and hosted on G2.com.,"Sometimes, the search bar is very slow to respond. Not a deal-breaker but if it's fast all the time, it would be great. Review collected by and hosted on G2.com.","We're using Planhat as a Customer Success tool to track usage, update Playbooks and evaluate expansion opportunities. All the pieces of required information is in the same place and that's of great help. Review collected by and hosted on G2.com."
Scott H.,Sr Director - Customer Success,Mid-Market,51-1000 emp.,13-Apr-22,"""Planhat really focuses on your success""","What I like most about Planhat is that their team really does focus on your success. They have a great onboarding service and work closely with you to ensure all of your implementation goals are achieved. Also, I love the playbook functionality - it really helps my team stay organized and deliver a consistent service across customers. Review collected by and hosted on G2.com.",Nothing so far. The UI and functionality are terrific. We are just going live and looking forward to building out our usage over time. Review collected by and hosted on G2.com.,"Our biggest problem we are solving is delivering the right services to the right customer segments, consistently. We are leveraging health scoring and playbooks to achieve that. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,30-Sep-22,"""Great onboarding tool""",Very easy to use with a friendly interface Review collected by and hosted on G2.com.,A lot of information might be a bit overwhelming Review collected by and hosted on G2.com.,We had a problem of scalability Review collected by and hosted on G2.com.
JD K.,Director of Customer Success,Small-Business,50 or fewer emp.,17-Nov-21,"""Robust, Effective, and Digestible""","The visual insights on the platform are the easiest way to communicate to a team general customer standing, and who needs to be targeted for successful renewal and additional training. The Dashboards are incredibly diverse and the conversation functionality is very convenient for a brief account review. Review collected by and hosted on G2.com.","There is a learning curve with using Planhat, particularly in the customizations with metrics. Once you've breached the curve then you're good, but it does take some time and dedication (a few hours at most) to really sink your teeth into what you can do. Review collected by and hosted on G2.com.","The biggest problem we've solved with Planhat is customer communication and accountability. Each CSM has their accounts that they're responsible for, and the team has a responsibility as a whole. This has promoted not only personal ownership for our CSMs but also interpersonal connection at the team level. Review collected by and hosted on G2.com."
Nicolas V.,Customer Success Manager,Small-Business,50 or fewer emp.,27-Oct-21,"""Software Magic""","All customer data in one place which is easy to navigate & display (including tasks / meeting notes). Flexible and automated Account Health reporting and management. Fantastic reporting suite which is easy to use & understand. UX of the platform is clean & easy to pick up. Tools to collaborate with customers directly through Planhat. Useful data/process automations around everything. Great onboarding support. Quick, responsive chat support with useful & easily navigatable knowledgebase of articles. Pricing model allows for unlimited users which increases collaboration between departments and reduces silo mentality. Review collected by and hosted on G2.com.",Outlook Calendar integration could use some minor tweaks to unlock the usefulness for our business (they are working on with us). The revenue management module could be slightly more intuitive / integrated with an external invoicing system. Review collected by and hosted on G2.com.,Having all customer data in one place. Having all actions & notes in one place. Clear/quick/easy reporting & data insights. Saving time through data automation allows us to gain insights quickly so we can proactively take remedial actions. We can now do more with less thanks to Planhat Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,17-May-22,"""Nice platform to integrate with""","Setting up integrations within the platform was pretty straightforward and well documented. Also, communication and support during integration from Planthat team side were nice. Review collected by and hosted on G2.com.","The file import section of the interface could be more self-explanatory. I was surprised that right after the upload data were synced, meaning there was no double-check that I really want to do it. Also, it would be great when uploading a bigger file to see some kind of progress bar of how many lines have been processed already or so. Review collected by and hosted on G2.com.",Identifying portfolio health. Review collected by and hosted on G2.com.
Susan O.,VP of Customer Success,Mid-Market,51-1000 emp.,26-Oct-21,"""The best CS platform on the market""","I love that Planhat makes our CSMs' life easier. We get alerts and tasks automated when there is something that should make us worried or when it's a good time to reach out to the customer. Planhat is very easy to use and it's a pleasure to log in and check our customers' health and activity. Besides that, our CSM (Oscar) is very helpful and he's been amazing during the onboarding process. Thanks to him, we made sure everything is set up properly and we feel comfortable with using Planhat.",There are some small UX things that could be improved Review collected by and hosted on G2.com.,- save CSMs' time by automating tasks
Chris O.,Associate Director,Small-Business,50 or fewer emp.,26-Oct-21,"""Integrated and intuitive CS software""","Being able to track all activities from a CS perspective, all in one place. It's also beneficial to the business to integrate various data sources to allow for enhanced reporting and client health tracking across the book of business. Review collected by and hosted on G2.com.","I think the functionality around creating and improving the editing of filters could be improved in the future to make it more user-friendly. It would also be helpful to be able to track customers' usage trends, rather than just what they have used, and report this via the client portal pages to the client directly. Review collected by and hosted on G2.com.","Ensure you have all integrations checked for compatibility, e.g., Microsoft Outlook. This will make the process much smoother. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,19-May-22,"""Great experience with Planhat""",The thing I like best about the platform is the customer portal. It helps me to organize and share the important information of the onboarding process with the client Review collected by and hosted on G2.com.,The usability of the tables in the customer portal Review collected by and hosted on G2.com.,The problem that is being solved with planhat is knowing what to prioritize in the beggining of the week. Every monday I can take a quick look at all the companies and know which ones I have to focus based on the health score Review collected by and hosted on G2.com.
Stéphanie L.,Global Account Manager,Mid-Market,51-1000 emp.,18-May-22,"""Très bon outil CRM CSM""","Facilitié de prise en mains 
",La prise en mains des dashboards est compliquée Review collected by and hosted on G2.com.,"Suivi Clients ARR
"
Unknown,Unknown,Mid-Market,51-1000 emp.,23-Nov-22,"""Great product, great service !""","The data module, playbooks, health score, emails, and conversations Review collected by and hosted on G2.com.",I wish we had more visible alerts when the data is wrong Review collected by and hosted on G2.com.,Low-touch account management and automation Review collected by and hosted on G2.com.
Ana C.,Head of Customer Success,Enterprise,> 1000 emp.,18-May-22,"""this is a very powerfull tool with a million possibilities to filter and visualize data.""",The support is very close and didatic. The tool allows a lot of different views and sharing. Very easy to create new fields. Review collected by and hosted on G2.com.,It is a bit difficult to integrate into the process already set. We have to press a lot F5 to change the information. Review collected by and hosted on G2.com.,controlling the health score of the customers and the next steps with the different services and people we have on the teams. It is much easier to garantee structured information to the board. Review collected by and hosted on G2.com.
Mariko H.,Director of Customer Success,Small-Business,50 or fewer emp.,01-Nov-21,"""Dedicated Customer Success Team behind their Dedicated Customer Success Software""","While our team has been very impressed with the Planhat software - as it is quite robust & can do so much - I have found that working with Mia and Peter throughout the onboarding process has elevated my reviews of Planhat 10 fold. Customer Success is great human relationships and support behind the products we sell, and they've been exemplary. Review collected by and hosted on G2.com.","I wish the icons were a bit larger, more diverse, as they all are light gray and look the same. If there were standard playbooks and triggers that could be uploaded so that we didn't need to start from scratch, that would make onboarding even better. Review collected by and hosted on G2.com.","We have the great problem of having too many accounts! Need a way to organize, track, and proactively manage our accounts leveraging software so that we can scale as an organization. Review collected by and hosted on G2.com."
James L.,Director of Customer Success,Small-Business,50 or fewer emp.,06-Jun-22,"""Everything you are looking for in a Customer Success tool""",Robustness - we can achieve everything we need Review collected by and hosted on G2.com.,Bit of a learning curve to master formulas Review collected by and hosted on G2.com.,Staying attuned to our customers' statuses. Allows us to be strategic partners to our clients Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,18-May-22,"""CS platform with a strong current vision and room to grow""","Extensibility of the platform with other applications; in particular, Salesforce was quite easy to integrate.
","Integrating custom metrics is difficult and not very intuitive
","We've built our customer success playbooks, success plans and playbooks into Planhat in a very low-code way with integrations to our other customer platforms (Intercom, Salesforce, etc.). The benefit has been in driving transparency about our customers and giving our CS team (and organization) a single source of truth for all activities related to our team. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,23-May-22,"""Great tool to track all CSM activities""","The dashboards tho have a summary with all the customers and the date of our last meeting, the dates of their renewal is very useful to know where to start prioritizing Review collected by and hosted on G2.com.","Sometimes I need to manually synchronize my calendar and mail account again, as for some reason it loses sync. Review collected by and hosted on G2.com.","Planhat is helping me prioritize the most important customers, the relationship and communications I have with them in order to make them successfull Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,19-Jan-22,"""Planhat has great potential, still needs some features - overall a good tool for Customer Success""","I like all the integrations available and the format they are displayed in. This provides Easy Access to critical information like Jiras, Usage metrics, Sales data, etc. Review collected by and hosted on G2.com.","There is limited editing in the Activities where notes and next steps are recorded. Basic items like bullet-points, numbered lists, and alignment are absent. The Bold, Italic, and Header Icons only work when I do a screen refresh (ticket for a fix has been opened). Review collected by and hosted on G2.com.","I use Planhat to manage our Enterprise Customer accounts, documenting onboarding, training, issues, and the customer's technical environment. This information is shared with our executive team to get a quick assessment of the customer status."
Claire R.,CSM,Mid-Market,51-1000 emp.,25-May-22,"""Great, flexible platform. Laura has been amazing and patient in helping us set-up.""",The flexibility of making things work for us Review collected by and hosted on G2.com.,"Theres little things like when you add a new task to a customers playbook, it auto assigns to the Account Owner and you can't remove yourself from it. It's not clear for the customer who's action it is Review collected by and hosted on G2.com.",Not to start completing this form! It's so long Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,14-Oct-22,"""Good for intended purpose""",I like how simple it is to use - the user interface is clear and easy to use. Review collected by and hosted on G2.com.,I don't like the graphical style. Just a personal preference. Review collected by and hosted on G2.com.,Makes it easier to communicate and track the team's progress. Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,18-May-22,"""Very intiutive platform""","That we can spot our most important data very quickly, and it is very easy to use. Also, it allows us to share information in a very efficient way. The business results and analysis are very visual and detailed. Review collected by and hosted on G2.com.","Sometimes it is complicated to manage the revenue lines as it synchronized with another software. There have been some bugs with the revenue lines, and we had to check everything all over again. Review collected by and hosted on G2.com.",Planhat is our CRM and allows us to centralize everything. It allows us to centralize all the data about all the customers and the business results associated allows us to do a reporting very easily. Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,18-May-22,"""Have been using Planhat to manage 300 customers in my portfolio for the past year.""","That you get a full overview of the customer. 
","Everything is very manual. You have to manually update a lot of fields for it to work. That can be really time-consuming and frustrating.
","Customer revenue, having all client related info in one tool. Being able to see if they are missing any great features that can make a big difference when using our tool. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,26-Aug-22,"""Planhat is intuitive and makes your life easier""","Email functionalities, playbooks and filters Review collected by and hosted on G2.com.",Dashboards and reports are sometimes too hard to figure out. Review collected by and hosted on G2.com.,Customer Success Management tool Review collected by and hosted on G2.com.
Matheus  C.,Customer Success Operations,Mid-Market,51-1000 emp.,19-Nov-21,"""Planhat Review""","Planhat is a very complete platform, with many usage options and very good usability.",The NPS module is a little complicated. it doesn't have many options of sending the campaing and it's difficult to use multiple campaings.,It's a great software! Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,11-May-22,"""Off to a great start""","Ease of use, our CSMs Hanna and Simon, all the customizable options we have to automate processes and free up valuable time. Review collected by and hosted on G2.com.","Getting the data cleaned and ready for planhat has been difficult for us, this isn't a planhat problem but might have been better to ready the data before purchasing. Review collected by and hosted on G2.com.","Lack of visibility
"
Unknown,Unknown,Enterprise,> 1000 emp.,18-May-22,"""Very practical tool""",I can keep track of everything I do so I don't forget Review collected by and hosted on G2.com.,In the new interface I can't see all the playbook steps Review collected by and hosted on G2.com.,"If you are looking fot the steps in the Playbooks, just go to Overview, and click show all, it's easier Review collected by and hosted on G2.com."
Isabelle F.,Customer Success Manager,Mid-Market,51-1000 emp.,16-May-22,"""User-friendly and powerful tool that makes it easy to have control over your customer portfolio""",Super easy to set up filters that help you prioritize your customers based on data. Review collected by and hosted on G2.com.,It's a complex tool with lots of features which means it can take some time to get up and running but once you're there - it's amazing! Review collected by and hosted on G2.com.,"Easy to prioritize, have all the customer data in one place and be able to filter and label conversations. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,18-May-22,"""Lot of functionality - less intuitive""","I like all the possibilities that Planhat offers, like automations, playbooks, different kind of filters, enduser playbooks and the integrations with other systems like slack or pipedrive Review collected by and hosted on G2.com.",I don't like that Planhat is not intuitive. You have to dive deep into the logic behind the system before you can use it's full potential. Besides a lot of use cases can't be shown in the customer intellegence module Review collected by and hosted on G2.com.,#NAME?
Leonardo Z.,C,Mid-Market,51-1000 emp.,18-May-22,"""A great tool!""",Severall tools and possibilities. A lot of data to analyze. Review collected by and hosted on G2.com.,"Sometime the integrations doesn't work, but has workarounds. Review collected by and hosted on G2.com.",Follow the clients data Review collected by and hosted on G2.com.
Brit S.,Customer Success Manager,Mid-Market,51-1000 emp.,02-Nov-21,"""A great way to always be in full control of good customer value""",I really like the total control and information structure. From numbers to soft values about my customers. Planhat also help me in both planning and a perfect way to handle both historical and future tasks. Easy for colleauges to help and support in my absence. Review collected by and hosted on G2.com.,Nothing to dislike when working in Planhat. If there are any challenges Planhat support is always there to help us in the best way. So there aren't really anything to complain about. Review collected by and hosted on G2.com.,Test it and you will love it! Review collected by and hosted on G2.com.
Maïlys F.,Customer Success Manager,Mid-Market,51-1000 emp.,13-May-22,"""A powerfull tool and great customer experience""",The tool is clear with easy and accessible features. Great support and follow-up with our CSM . Review collected by and hosted on G2.com.,"a few slight improvements could be done in UX but really no spécific problems or actual ""dislike"" Review collected by and hosted on G2.com.",Go for it! Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,23-May-22,"""User friendly tool with great support""","Planhat provides some structure which is great for those companies just adopting a CSM tool, but also advanced features that allow you to do things a bit more sophisticated for those who have specific needs. The support has been fantastic, and I feel our organization can mature our practice with this tool. Review collected by and hosted on G2.com.","It is difficult to create reports that show trends over time, and the calculated metrics you can build are very complex and you will likely need support to build anything advanced. Review collected by and hosted on G2.com.","Revenue Management, Playbooks, Dashboards, Data Analysis, CRM Review collected by and hosted on G2.com."
Amelia  J.,CSM,Mid-Market,51-1000 emp.,19-May-22,"""Like the structure but sometimes feels hard to trust the information""",All the possibilities to work proactivly. Review collected by and hosted on G2.com.,Very complicated to understand all filters Review collected by and hosted on G2.com.,Right emails to right people Review collected by and hosted on G2.com.
Ivo S.,Customer Success Manager,Small-Business,50 or fewer emp.,17-May-22,"""Great platform for CS""","reporting and table overviews of customers
","Support not taking phone calls but just having chat.
","CS health scoring, segmentation, clear overview Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,02-May-22,"""The Single Pane of Glass We Needed""","Planhat was a much-needed tool to help our field team gain better visibility into all customer activity in a single pane of glass.   Planhat was able to pull in analytics data, support tickets, and CRM data into a single view and generate health scores and automated activities accordingly.  The tool is allowing for a more standardized approach of supporting all customers and scaling the team's efforts to be able to handle larger account loads. Review collected by and hosted on G2.com.","Planhat does a great job providing insights and task management to individual users; however, it is a little challenging to get a complete management view of the team's activities and pending tasks.  Much of this requires custom report building which has a learning curve. Review collected by and hosted on G2.com.","Planhat allows us to view all of our customer management tools in one place.  Before utilizing Planhat, our teams would have to use several different tools to get a full picture of customer activity and support.  With the unlimited user model provided by Planhat, we can have multiple other teams support our customers with a holistic view of activity and reduce licenses needed for periphery users logging into our CRM saving us money. Review collected by and hosted on G2.com."
Kathryn D.,Director of Customer Success Implementations and Operations,Mid-Market,51-1000 emp.,20-May-22,"""Planhat experience""","Easy for all our cs team to organize notes and account info in one place, also seems very easy to integrate with other platforms Review collected by and hosted on G2.com.","No major dislikes at this point, we just need our team to utilize it Review collected by and hosted on G2.com.","centralizing all customer account plans/details/notes, will make it much easier to transition accounts Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,11-May-22,"""We use Planhat for many processes that we used to do in other systems""","Ease of use, configurability and support Review collected by and hosted on G2.com.",some of the pop out screens like for Playbooks is limiting when you have a lot of tasks Review collected by and hosted on G2.com.,work as a team to determine the setup and use of the product to ensure you configure it correctly Review collected by and hosted on G2.com.
Sergio B.,COO,Small-Business,50 or fewer emp.,10-May-22,"""Great experience""","The product: complete and very user friendly (much better than the competition)
",Nothing. We took some time to do the integrations but we counted with great support from their tech team Review collected by and hosted on G2.com.,Onboarding customers and centralisation of the data Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,27-Oct-21,"""The tool that lead the way to improving our Customer Success""","Planhat has truly helped transform our customer success and has helped to educate and guide us along the way! The quick responses and relationship we have built with Gurprem is extremely valuable. The navigation of the tool and design is very user-friendly, and we love having the ability to track all communications and conversation types on our Customer pages. The webinars that are hosted have been a fantastic resource for us to use. Review collected by and hosted on G2.com.","The filtering in the search function can be glitchy along with the MRR value field. The imports don't work well if you have a lot of data which we do. We have inconsistent experiences with Support, some agents are great (Like Christian), and some agents' responses are very generic or not investigated well. Review collected by and hosted on G2.com.","Planhat will help to support, guide and transform the way you view and manage your Customer Success. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,30-Nov-21,"""Great, intuitive CSM software""","Very easy to get started, intuitive design and layouts; flexible in terms of creating data cuts. Simple to understand, visually appealing. Super easy integration with SalesForce and other software (like FreshWorks) to have data in one place. Supportive and understanding CSMs. Great experience thus far Review collected by and hosted on G2.com.","Some areas are not as intuitive, such as automated triggers, and the language can be very technical (almost made for a developer). NPS is still fairly limited. Both are areas they are working towards and I have full confidence it will improve in future. Review collected by and hosted on G2.com.","Problems: Lack of customer data visibility, no structured process for dealing with customers, no central place for customer data"
Unknown,Unknown,Mid-Market,51-1000 emp.,26-Oct-21,"""Great product, CS team, and fast implementation!""","We have a unique business use case, and Planhat has been a great tool to meet our unique needs. We like the customer intelligence module as well as the data module. And to have an NPS right out of the box has been fantastic! Review collected by and hosted on G2.com.","Using the product in the unique way we do leads to a lack of functionality in utilizing end users. We feel we may have a workaround and are working with our fantastic CSM as we speak. I would also like to see a better community built, but understand as a new fast-growing company, that is not the priority. More features will work just fine :) Review collected by and hosted on G2.com.",We now have a more honest and robust CSAT and NPS survey for our CS teams. It is fantastic to collate the feedback. We are also heavily utilizing playbooks for our onboardings and ensuring we give our customers a great user experience. Review collected by and hosted on G2.com.
John L.,Customer Success,Small-Business,50 or fewer emp.,26-Oct-21,"""A Game-Changer for our CS Team""",Great 360-degree view of customer health Review collected by and hosted on G2.com.,Onboarding could have been more hands-on Review collected by and hosted on G2.com.,"Our onboarding was a little bumpy, but it was largely because we were still trying to understand how we should operate as a CS team. If your goals and metrics and desired outcomes are clear, Planhat is definitely able to get you set up for success. Review collected by and hosted on G2.com."
Thiago Q.,CS Lead,Mid-Market,51-1000 emp.,13-May-22,"""Amazing support from their Team! Always willing to help! :)""","Team is always willing to support and answering questions, they are amazing! Review collected by and hosted on G2.com.","There are some features not 100% user-friendly and a bit hard to understand, like creating dashboards. Review collected by and hosted on G2.com.",We can have one source of truth to manage our customers and we are able to centralize all customers info in one place Review collected by and hosted on G2.com.
Elliot C.,Senior Customer Success Manager,Mid-Market,51-1000 emp.,06-May-22,"""Planhat review""",Having all data in one place and allowing wider business to have a view of customer data. Review collected by and hosted on G2.com.,Set up process is difficult and requires a lot of input from both parties to get data across Review collected by and hosted on G2.com.,Finding customers out we didn't know about due to data moving across and the reporting function is great Review collected by and hosted on G2.com.
Blair F.,"Director, Customer Service & Success",Small-Business,50 or fewer emp.,26-Apr-22,"""working with Planhat""",Planhat has a swift time to productivity.  They quickly get your project kicked off and provide great team members to help you learn rapidly. Review collected by and hosted on G2.com.,"There isn't anything that I dislike about the Planhat system.  They are a young company, so they have the typical growth challenges, but because of their early stage, they are also very willing to help and overcome anything that might appear as a challenge. Review collected by and hosted on G2.com.",We have been able to get a better onboarding process identified and documented using the playbooks.  We have a much more detailed onboarding process that is clear and easy for our Implementation team to follow and broadcast where their project stands. Review collected by and hosted on G2.com.
